Location,TimeFrame,DataFormat,Data
Colorado,2007,Percent,0.39465
Colorado,2006,Percent,0.33677
Colorado,2005,Percent,0.27807
Colorado,2004,Percent,0.24014
Colorado,2008,Percent,0.5357
Colorado,2009,Percent,0.598
Colorado,2010,Percent,0.64019
Colorado,2011,Percent,0.672
Colorado,2012,Percent,0.695
Colorado,2013,Percent,0.70263
Colorado,2014,Percent,0.74118
JOHNSTOWN-MILLIKEN RE-5J,2011,Percent,1.2
Academy,2007,Percent,0.39143
Academy,2008,Percent,0.39144
ACADEMY,2007,Percent,0.39159
ACADEMY 20,2006,Percent,0.35364
ADAMS COUNTY 14,2007,Percent,0.30643
ADAMS COUNTY 14,2006,Percent,0.29331
ADAMS COUNTY 14,2005,Percent,0.3
ADAMS-ARAPAHOE 28J,2007,Percent,0.47359
